Problem,Method,Level,DOF,Cells,ActiveDOF,ActiveFraction,Halo,TouchedCells,LocalNNZ,L2,H1semi,Energy,Estimator,ResidualReduction,Cycle_s,Cumulative_s
L-shaped singularity,HLRC-r1,0,65,96,33,1.0,1,96,177,0.019262555173412486,0.18451035318832681,0.18451035318832681,0.5288212008554289,0.0,0.00170751299992844,0.00170751299992844
L-shaped singularity,HLRC-r1,1,78,122,24,0.5217391304347826,1,62,134,0.010530183798421924,0.1350913467149999,0.1350913467149999,0.4237659468946922,0.04857545224710415,0.003023583999947732,0.004731096999876172
L-shaped singularity,HLRC-r1,2,104,170,38,0.5588235294117647,1,98,216,0.00819495139244788,0.10441904225747312,0.10441904225747312,0.33416388139603254,0.09118115395089467,0.004074482999953943,0.008805579999830115
L-shaped singularity,HLRC-r1,3,190,338,139,0.9266666666666666,1,326,857,0.004634465049765396,0.07597639207627983,0.07597639207627983,0.2520904243857585,0.08245258531390338,0.009223189999829629,0.018028769999659744
L-shaped singularity,HLRC-r1,4,331,610,228,0.8113879003558719,1,576,1354,0.0035133843231042253,0.05563372320761725,0.05563372320761725,0.18608970854035314,0.09056828990438379,0.01624303100004454,0.03427180099970428
L-shaped singularity,HLRC-r1,5,624,1172,461,0.8381818181818181,1,1094,2875,0.002911620220449214,0.04089910118231026,0.04089910118231026,0.13748519982570556,0.08879003226007182,0.03020512900002359,0.06447692999972787
L-shaped singularity,HLRC-r1,6,1107,2116,773,0.7645895153313551,1,1802,4911,0.0026656686249532852,0.030990684472196196,0.030990684472196196,0.10351746549561477,0.09895514951719639,0.0534132300000465,0.11789015999977437
L-shaped singularity,HLRC-r1,7,2022,3916,1456,0.7679324894514767,1,3332,9366,0.0024749632614846293,0.02360410804690987,0.02360410804690987,0.07699929100936341,0.09024103296407927,0.09837065800002165,0.21626081799979602
L-shaped singularity,HLRC-r2,0,65,96,33,1.0,2,96,177,0.019262555173412486,0.18451035318832681,0.18451035318832681,0.5288212008554289,0.0,0.001874930999974822,0.001874930999974822
L-shaped singularity,HLRC-r2,1,78,122,35,0.7608695652173914,2,94,203,0.009602417100782802,0.13488752874569365,0.13488752874569365,0.4252091548848089,0.022069108029365174,0.0036532329999090507,0.005528163999883873
L-shaped singularity,HLRC-r2,2,104,170,53,0.7794117647058824,2,136,317,0.005845518364134681,0.10356512427019435,0.10356512427019435,0.3372580918429652,0.04110566481544506,0.004987528000015118,0.01051569199989899
L-shaped singularity,HLRC-r2,3,190,338,150,1.0,2,338,960,0.002412809564934271,0.07508003691470067,0.07508003691470067,0.2543423116185174,8.985076348884167e-15,0.010582088999854022,0.021097780999753013
L-shaped singularity,HLRC-r2,4,328,602,272,0.9855072463768116,2,598,1770,0.0013073706593055622,0.054804342512938996,0.054804342512938996,0.18929152600913038,0.012213406292306831,0.01703797899995152,0.03813575999970453
