Problem,Theta,Level,DOF,Energy,Estimator,Cumulative_s,MinAngle
L-shaped singularity,0.3,7,643,0.037103308529413175,0.13587622279957717,0.05411281100009546,45.00000000000001
L-shaped singularity,0.5,7,1968,0.021443524265943488,0.07844170996130348,0.1279554569997572,45.00000000000001
L-shaped singularity,0.7,7,6676,0.013145805780991856,0.04755188292908939,0.4425805449998279,45.00000000000001
High-contrast interface (1e4),0.3,7,922,0.004763226284165606,0.027762684911223207,0.08838494699978128,45.00000000000001
High-contrast interface (1e4),0.5,7,3856,0.002355555607061122,0.013514940096262884,0.26889370200001395,45.00000000000001
High-contrast interface (1e4),0.7,7,21071,0.0009865123459372634,0.005701389594972422,1.5377843190001386,45.00000000000001
Localized reaction-diffusion layer,0.3,7,390,0.011478525003830786,0.055423171396126424,0.04453699499981667,45.00000000000001
Localized reaction-diffusion layer,0.5,7,1531,0.0051227851783976625,0.02577693724676573,0.18044799099970987,45.00000000000001
Localized reaction-diffusion layer,0.7,7,7742,0.0022558218246925767,0.011477341742042499,0.4292418219999945,45.00000000000001
