Problem,Level,Halo,DOF,InteriorDOF,ActiveDOF,ActiveFraction,TouchedCells,LocalNNZ,Energy,DirectEnergy,ProlongedEnergy,RecoveryFraction,WorkNormalizedRecovery,Solve_s
Smooth Poisson,1,0,160,126,77,0.6111111111111112,226,309,0.33811156667032244,0.3262808861815882,0.4080789479450665,0.8691473603698123,1.422241135150602,0.0022029070000826323
Smooth Poisson,1,1,160,126,123,0.9761904761904762,272,799,0.3263599925498119,0.3262808861815882,0.4080789479450665,0.9991405239264438,1.0235098049978206,0.003691015000072184
Smooth Poisson,1,2,160,126,126,1.0,284,820,0.3262808861815882,0.3262808861815882,0.4080789479450665,1.0,1.0,0.003514522000045872
Smooth Poisson,1,3,160,126,126,1.0,284,820,0.3262808861815882,0.3262808861815882,0.4080789479450665,1.0,1.0,0.003389907000041603
Smooth Poisson,1,999,160,126,126,1.0,284,820,0.3262808861815882,0.3262808861815882,0.4080789479450665,1.0,1.0,0.0033350459999610393
Smooth Poisson,2,0,265,211,85,0.4028436018957346,274,313,0.2165673804794896,0.21031796634114489,0.32628017225399286,0.9571268964255438,2.3759267664210557,0.0022074029999430422
Smooth Poisson,2,1,265,211,129,0.6113744075829384,344,735,0.21234205171600545,0.21031796634114489,0.32628017225399286,0.9862515301977718,1.6131711075327895,0.003444758999989972
Smooth Poisson,2,2,265,211,164,0.7772511848341233,408,972,0.2116638396507328,0.21031796634114489,0.32628017225399286,0.9908729111762594,1.2748425869401874,0.004301098999917485
Smooth Poisson,2,3,265,211,190,0.9004739336492891,450,1186,0.21120286853040554,0.21031796634114489,0.32628017225399286,0.9940055590657654,1.1038693313835606,0.005109006999987287
Smooth Poisson,2,999,265,211,211,1.0,474,1359,0.21031796634114489,0.21031796634114489,0.32628017225399286,1.0,1.0,0.005411625999954595
Smooth Poisson,3,0,506,450,239,0.5311111111111111,678,1049,0.18248001576783912,0.17958059486847713,0.21031796303587802,0.9124060246736961,1.7179192933186749,0.0058331619999307804
Smooth Poisson,3,1,506,450,366,0.8133333333333334,800,2432,0.17972152801607194,0.17958059486847713,0.21031796303587802,0.9957747284370471,1.2243131907012874,0.0097999949999803
Smooth Poisson,3,2,506,450,422,0.9377777777777778,894,2826,0.17958643148813064,0.17958059486847713,0.21031796303587802,0.9998250799695461,1.0661641848016485,0.011346699000000626
Smooth Poisson,3,3,506,450,438,0.9733333333333334,924,2944,0.1795820784469499,0.17958059486847713,0.21031796303587802,0.9999555385716633,1.0273515807243117,0.011567366000008406
Smooth Poisson,3,999,506,450,450,1.0,954,3028,0.17958059486847713,0.17958059486847713,0.21031796303587802,1.0,1.0,0.011712461000001895
Smooth Poisson,4,0,788,704,254,0.36079545454545453,748,1102,0.1200645731338643,0.11906536140156494,0.17958060230789644,0.9867788250034643,2.7350090267812552,0.006959751999943364
Smooth Poisson,4,1,788,704,376,0.5340909090909091,880,2376,0.11936184185378317,0.11906536140156494,0.17958060230789644,0.9960886160176947,1.8650169831820669,0.00995158899991111
Smooth Poisson,4,2,788,704,440,0.625,1020,2796,0.11930386482108693,0.11906536140156494,0.17958060230789644,0.9968542559722292,1.5949668095555667,0.011660264000056486
Smooth Poisson,4,3,788,704,508,0.7215909090909091,1176,3236,0.11927151204246392,0.11906536140156494,0.17958060230789644,0.9972813424179017,1.3820591831933127,0.01316218099998423
Smooth Poisson,4,999,788,704,704,1.0,1490,4738,0.11906536140156496,0.11906536140156494,0.17958060230789644,1.0,1.0,0.018492156999968756
Smooth Poisson,5,0,1567,1465,761,0.5194539249146758,2150,3433,0.09848292124808203,0.09712698597872389,0.11906529825564308,0.9440775229211332,1.8174422747430488,0.02007819899995411
Smooth Poisson,5,1,1567,1465,1148,0.783617747440273,2480,7644,0.09718662640741269,0.09712698597872389,0.11906529825564308,0.997556566196623,1.2730142591272238,0.03315119799992772
Smooth Poisson,5,2,1567,1465,1255,0.856655290102389,2624,8527,0.09714130383526214,0.09712698597872389,0.11906529825564308,0.9994135425342988,1.1666460875001974,0.033152290000089124
Smooth Poisson,5,3,1567,1465,1321,0.9017064846416383,2756,8981,0.09713411146386736,0.09712698597872389,0.11906529825564308,0.9997081518985063,1.108684665050198,0.03608652099990195
Smooth Poisson,5,999,1567,1465,1465,1.0,3030,10029,0.09712698597872386,0.09712698597872389,0.11906529825564308,1.0,1.0,0.03925512099999651
Smooth Poisson,6,0,2620,2482,1017,0.40975020145044316,2924,4445,0.06660222110115795,0.06549126401371183,0.09712698692698567,0.9714746071733572,2.3708947640160005,0.02454092799996488
Smooth Poisson,6,1,2620,2482,1572,0.6333601933924254,3512,10226,0.06559036252092694,0.06549126401371183,0.09712698692698567,0.9974749970753058,1.5748937294789498,0.04139493399998173
Smooth Poisson,6,2,2620,2482,1822,0.734085414987913,3954,12080,0.06553048331469373,0.06549126401371183,0.09712698692698567,0.9990011593994569,1.360878637557328,0.04858835299990005
Smooth Poisson,6,3,2620,2482,2018,0.8130539887187752,4332,13490,0.06551732489747135,0.06549126401371183,0.09712698692698567,0.9993363457814756,1.2291143757332121,0.05301858500001799
Smooth Poisson,6,999,2620,2482,2482,1.0,5100,17028,0.06549126401371183,0.06549126401371183,0.09712698692698567,1.0,1.0,0.06715404900000976
Smooth Poisson,7,0,4776,4604,2122,0.46090356211989575,6050,9372,0.05177626011394159,0.051004948824920696,0.06549126203025417,0.9530242482358564,2.067730272798248,0.05054102999997667
Smooth Poisson,7,1,4776,4604,3316,0.7202432667245873,7215,22034,0.05106308069757993,0.051004948824920696,0.06549126203025417,0.9964841173302923,1.3835382618180536,0.08803905500008113
Smooth Poisson,7,2,4776,4604,3775,0.8199391833188532,7997,25463,0.05102136702190235,0.051004948824920696,0.06549126203025417,0.9990074143412926,1.218392088907897,0.10297747000004165
Smooth Poisson,7,3,4776,4604,4096,0.889661164205039,8492,28006,0.05101064266968426,0.051004948824920696,0.06549126203025417,0.9996558066273316,1.1236365560820885,0.11456352400000469
Smooth Poisson,7,999,4776,4604,4604,1.0,9378,31798,0.05100494882492069,0.051004948824920696,0.06549126203025417,1.0,1.0,0.14091154799996275
L-shaped singularity,1,0,78,46,13,0.2826086956521739,40,45,0.14024785486363106,0.13484776149626257,0.18841795421073407,0.9142168316522915,3.234921096615801,0.0006198390000236031
L-shaped singularity,1,1,78,46,24,0.5217391304347826,62,134,0.1350913467149999,0.13484776149626257,0.18841795421073407,0.9962030586968069,1.9093891958355467,0.0008098209999616302
L-shaped singularity,1,2,78,46,35,0.7608695652173914,94,203,0.13488752874569365,0.13484776149626257,0.18841795421073407,0.9993805867841287,1.3134716283448546,0.0011526099999628059
L-shaped singularity,1,3,78,46,46,1.0,122,264,0.13484776149626257,0.13484776149626257,0.18841795421073407,1.0,1.0,0.0013738779999812323
L-shaped singularity,1,999,78,46,46,1.0,122,264,0.13484776149626257,0.13484776149626257,0.18841795421073407,1.0,1.0,0.0013788050000584917
L-shaped singularity,2,0,104,68,22,0.3235294117647059,70,78,0.10724173746913275,0.10341028590464102,0.13795129280895418,0.9031887464863605,2.7916743073214776,0.0007362220000004527
L-shaped singularity,2,1,104,68,38,0.5588235294117647,98,216,0.10385575753834836,0.10341028590464102,0.13795129280895418,0.9889249656869815,1.769655201755651,0.0011418440000170449
L-shaped singularity,2,2,104,68,53,0.7794117647058824,136,317,0.10346951234403669,0.10341028590464102,0.13795129280895418,0.9985302936285119,1.2811332069196002,0.0015783510000346723
L-shaped singularity,2,3,104,68,68,1.0,170,410,0.10341028590464103,0.10341028590464102,0.13795129280895418,0.9999999999999996,0.9999999999999996,0.0019704630000205725
L-shaped singularity,2,999,104,68,68,1.0,170,410,0.10341028590464103,0.10341028590464102,0.13795129280895418,1.0,1.0,0.0029361139999082297
L-shaped singularity,3,0,190,150,82,0.5466666666666666,248,310,0.07744138067303286,0.07508003691470068,0.10502188792610316,0.9332128288376159,1.7070966381175903,0.0024636339999233314
L-shaped singularity,3,1,190,150,139,0.9266666666666666,326,857,0.07515477157394197,0.07508003691470068,0.10502188792610316,0.9979179285597459,1.0768898509637546,0.003891843000019435
L-shaped singularity,3,2,190,150,150,1.0,338,960,0.07508003691470068,0.07508003691470068,0.10502188792610316,1.0,1.0,0.004413064999994276
L-shaped singularity,3,3,190,150,150,1.0,338,960,0.07508003691470068,0.07508003691470068,0.10502188792610316,1.0,1.0,0.005091991000085727
L-shaped singularity,3,999,190,150,150,1.0,338,960,0.07508003691470068,0.07508003691470068,0.10502188792610316,1.0,1.0,0.0041798290000087945
L-shaped singularity,4,0,328,276,126,0.45652173913043476,388,468,0.056425782784532044,0.05479170473630452,0.07601706350037596,0.9345433190985962,2.047094889454068,0.00340550099997472
L-shaped singularity,4,1,328,276,222,0.8043478260869565,556,1326,0.05494833972424043,0.05479170473630452,0.07601706350037596,0.9938089827519545,1.2355463028808082,0.005967039999973167
L-shaped singularity,4,2,328,276,272,0.9855072463768116,598,1770,0.054804342512939024,0.05479170473630452,0.07601706350037596,0.9995011457571933,1.0141996920183285,0.007218166000029669
L-shaped singularity,4,3,328,276,276,1.0,602,1806,0.05479170473630452,0.05479170473630452,0.07601706350037596,1.0,1.0,0.007007713000007243
L-shaped singularity,4,999,328,276,276,1.0,602,1806,0.05479170473630452,0.05479170473630452,0.07601706350037596,1.0,1.0,0.007339505999993889
L-shaped singularity,5,0,598,524,248,0.4732824427480916,759,940,0.041086755734723965,0.04000992835929659,0.054978564670506234,0.9385819603487471,1.9831328517046107,0.006785222999951657
L-shaped singularity,5,1,598,524,432,0.8244274809160306,1034,2690,0.04008712255390801,0.04000992835929659,0.054978564670506234,0.995651415312632,1.2076882907958777,0.011573806000001241
